date,year,month,day,commodity,category,region,market_name,season,season_index,festival_flag,festival_name,festival_multiplier,msp_announced,rainfall_mm,rainfall_index,temperature_c,min_price_quintal,max_price_quintal,modal_price_quintal,price_per_kg,arrival_tonnes,demand_kg
2023-01-01,2023,1,1,Mango,fruits,Gujarat,Surat APMC,Rabi,2,0,,1.0,60.0,28.5,0.095,16.4,11799.0,15076.5,13110.0,131.1,0.42,379.3
2023-01-01,2023,1,1,Garlic,spices,Gujarat,Surat APMC,Rabi,2,0,,1.0,130.0,11.8,0.039,18.7,11347.2,14499.2,12608.0,126.08,0.84,707.8
2023-01-01,2023,1,1,Tomato,vegetables,Gujarat,Surat APMC,Rabi,2,0,,1.0,25.0,24.2,0.081,17.3,3205.8,4096.3,3562.0,35.62,2.96,2678.1
2023-01-01,2023,1,1,Potato,vegetables,Delhi,Azadpur Mandi,Rabi,2,0,,1.0,18.0,3.8,0.013,18.6,2293.2,2930.2,2548.0,25.48,5.27,4330.5
2023-01-01,2023,1,1,Turmeric,spices,Delhi,Azadpur Mandi,Rabi,2,0,,1.0,120.0,12.8,0.043,17.9,13804.2,17638.7,15338.0,153.38,1.03,1021.8
2023-01-01,2023,1,1,Mustard,oilseeds,Delhi,Azadpur Mandi,Rabi,2,0,,1.0,54.0,30.6,0.102,17.4,5361.3,6850.55,5957.0,59.57,1.68,1329.4
2023-01-01,2023,1,1,Potato,vegetables,Maharashtra,Vashi APMC,Rabi,2,0,,1.0,18.0,31.1,0.104,16.7,1903.5,2432.25,2115.0,21.15,3.46,4129.4
2023-01-01,2023,1,1,Tomato,vegetables,Maharashtra,Vashi APMC,Rabi,2,0,,1.0,25.0,37.0,0.123,22.0,3530.7,4511.45,3923.0,39.23,2.89,3450.4
2023-01-01,2023,1,1,Rice,grains,Maharashtra,Vashi APMC,Rabi,2,0,,1.0,32.0,1.5,0.005,19.6,4009.5,5123.25,4455.0,44.55,5.41,5607.3
2023-01-01,2023,1,1,Onion,vegetables,Punjab,Khanna Grain Market,Rabi,2,0,,1.0,20.0,46.8,0.156,21.8,2639.7,3372.95,2933.0,29.33,4.13,3941.1
2023-01-01,2023,1,1,Chilli,spices,Punjab,Khanna Grain Market,Rabi,2,0,,1.0,110.0,0.0,0.0,21.8,12148.2,15522.7,13498.0,134.98,1.17,1218.4
2023-01-01,2023,1,1,Banana,fruits,Punjab,Khanna Grain Market,Rabi,2,0,,1.0,28.0,45.1,0.15,20.2,3011.4,3847.9,3346.0,33.46,3.22,2737.7
2023-01-01,2023,1,1,Turmeric,spices,Tamil Nadu,Salem Agri Mandi,Rabi,2,0,,1.0,120.0,28.9,0.096,20.8,15111.0,19308.5,16790.0,167.9,1.29,1037.6
2023-01-01,2023,1,1,Mango,fruits,Tamil Nadu,Salem Agri Mandi,Rabi,2,0,,1.0,60.0,4.9,0.016,19.5,9669.6,12355.6,10744.0,107.44,0.57,468.8
2023-01-01,2023,1,1,Tomato,vegetables,Tamil Nadu,Salem Agri Mandi,Rabi,2,0,,1.0,25.0,0.0,0.0,20.9,3004.2,3838.7,3338.0,33.38,2.89,2982.5
2023-01-01,2023,1,1,Potato,vegetables,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,18.0,0.0,0.0,20.1,2467.8,3153.3,2742.0,27.42,2.9,3516.9
2023-01-01,2023,1,1,Soybean,oilseeds,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,46.0,34.4,0.115,19.7,4522.5,5778.75,5025.0,50.25,1.59,1526.4
2023-01-01,2023,1,1,Garlic,spices,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,130.0,51.1,0.17,21.7,14137.2,18064.2,15708.0,157.08,0.78,797.5
2023-01-04,2023,1,4,Wheat,grains,Gujarat,Surat APMC,Rabi,2,0,,1.0,24.0,8.1,0.027,19.6,2494.8,3187.8,2772.0,27.72,6.44,5325.4
2023-01-04,2023,1,4,Banana,fruits,Gujarat,Surat APMC,Rabi,2,0,,1.0,28.0,61.7,0.206,25.4,3363.3,4297.55,3737.0,37.37,3.16,2532.5
2023-01-04,2023,1,4,Rice,grains,Gujarat,Surat APMC,Rabi,2,0,,1.0,32.0,34.1,0.114,21.8,3487.5,4456.25,3875.0,38.75,4.98,4280.0
2023-01-04,2023,1,4,Wheat,grains,Maharashtra,Lasalgaon Mandi,Rabi,2,0,,1.0,24.0,35.0,0.117,18.8,2770.2,3539.7,3078.0,30.78,7.44,6608.3
2023-01-04,2023,1,4,Banana,fruits,Maharashtra,Lasalgaon Mandi,Rabi,2,0,,1.0,28.0,46.0,0.153,18.4,3110.4,3974.4,3456.0,34.56,3.3,2810.3
2023-01-04,2023,1,4,Onion,vegetables,Maharashtra,Lasalgaon Mandi,Rabi,2,0,,1.0,20.0,51.7,0.172,21.1,3189.6,4075.6,3544.0,35.44,3.32,3922.0
2023-01-04,2023,1,4,Chilli,spices,Karnataka,Yeshwanthpur APMC,Rabi,2,0,,1.0,110.0,96.0,0.32,20.5,12547.8,16033.3,13942.0,139.42,1.13,976.2
2023-01-04,2023,1,4,Tomato,vegetables,Karnataka,Yeshwanthpur APMC,Rabi,2,0,,1.0,25.0,0.9,0.003,21.2,3510.0,4485.0,3900.0,39.0,2.22,2749.9
2023-01-04,2023,1,4,Onion,vegetables,Karnataka,Yeshwanthpur APMC,Rabi,2,0,,1.0,20.0,24.5,0.082,21.8,2794.5,3570.75,3105.0,31.05,3.06,3084.2
2023-01-04,2023,1,4,Gram (Chana),pulses,Karnataka,Kolar APMC Market,Rabi,2,0,,1.0,58.0,0.0,0.0,18.8,5867.1,7496.85,6519.0,65.19,2.14,1744.1
2023-01-04,2023,1,4,Wheat,grains,Karnataka,Kolar APMC Market,Rabi,2,0,,1.0,24.0,38.1,0.127,18.8,2769.3,3538.55,3077.0,30.77,4.32,4279.2
2023-01-04,2023,1,4,Mustard,oilseeds,Karnataka,Kolar APMC Market,Rabi,2,0,,1.0,54.0,44.1,0.147,17.4,6081.3,7770.55,6757.0,67.57,1.06,1267.5
2023-01-04,2023,1,4,Wheat,grains,Tamil Nadu,Koyambedu Market,Rabi,2,0,,1.0,24.0,17.3,0.058,21.5,2762.1,3529.35,3069.0,30.69,5.61,4623.7
2023-01-04,2023,1,4,Chilli,spices,Tamil Nadu,Koyambedu Market,Rabi,2,0,,1.0,110.0,57.9,0.193,20.0,10647.9,13605.65,11831.0,118.31,1.35,1173.7
2023-01-04,2023,1,4,Apple,fruits,Tamil Nadu,Koyambedu Market,Rabi,2,0,,1.0,85.0,25.0,0.083,19.3,10237.5,13081.25,11375.0,113.75,1.72,1860.3
2023-01-04,2023,1,4,Rice,grains,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,32.0,51.3,0.171,22.8,4163.4,5319.9,4626.0,46.26,5.41,4893.4
2023-01-04,2023,1,4,Potato,vegetables,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,18.0,0.0,0.0,19.3,1839.6,2350.6,2044.0,20.44,3.11,3854.7
2023-01-04,2023,1,4,Mustard,oilseeds,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,54.0,21.7,0.072,24.0,5413.5,6917.25,6015.0,60.15,1.45,1397.8
2023-01-07,2023,1,7,Gram (Chana),pulses,Maharashtra,Vashi APMC,Rabi,2,0,,1.0,58.0,0.0,0.0,23.0,7574.4,9678.4,8416.0,84.16,2.23,2077.5
2023-01-07,2023,1,7,Rice,grains,Maharashtra,Vashi APMC,Rabi,2,0,,1.0,32.0,14.7,0.049,21.6,3645.9,4658.65,4051.0,40.51,4.67,5585.3
