date,category,region,demand_kg,price_per_kg,rainfall_mm,temperature_c,festival_flag,season
2024-12-06,fruits,Gujarat,1800.3,170.93,21.3,19.5,0,Rabi
2025-11-04,vegetables,Punjab,2756.77,46.39,25.67,19.7,1,Rabi
2025-05-23,dairy,Maharashtra,1820.54,62.6,45.38,26.8,0,Zaid
2024-12-10,pulses,Karnataka,1562.27,106.7,18.9,29.1,0,Rabi
2024-11-05,fruits,Punjab,1493.07,98.2,12.68,23.1,1,Rabi
2026-07-27,spices,Punjab,1611.46,158.1,246.84,29.9,0,Kharif
2024-09-15,grains,Andhra Pradesh,856.26,92.04,143.31,16.7,0,Kharif
2026-05-02,vegetables,Karnataka,1154.5,164.38,48.9,26.1,0,Zaid
2024-12-25,oilseeds,Andhra Pradesh,565.1,186.44,45.96,20.1,0,Rabi
2025-12-05,grains,Gujarat,613.15,49.92,10.84,20.9,0,Rabi
2025-03-28,vegetables,Andhra Pradesh,1545.39,89.16,36.86,33.3,0,Rabi
2025-07-22,fruits,Delhi,586.8,91.01,32.03,21.7,0,Kharif
2025-11-27,fruits,Gujarat,2205.41,89.89,11.47,20.3,1,Rabi
2024-11-21,dairy,Maharashtra,1334.89,101.58,1.62,20.6,1,Rabi
2025-09-02,dairy,Gujarat,1404.17,68.77,39.96,16.5,0,Kharif
2024-12-03,spices,Punjab,1124.96,124.61,45.96,16.7,0,Rabi
2026-06-20,spices,Punjab,1327.38,49.67,123.38,30.6,0,Kharif
2025-01-03,fruits,Delhi,1977.93,87.81,37.48,22.9,0,Rabi
2026-06-18,grains,Kerala,1353.62,31.43,11.05,17.7,0,Kharif
2025-06-30,dairy,Delhi,613.04,144.51,160.3,30.0,0,Kharif
2025-08-04,grains,Andhra Pradesh,2066.59,150.7,227.12,22.6,1,Kharif
2025-12-30,dairy,Karnataka,807.57,65.26,13.74,19.1,0,Rabi
2025-10-13,vegetables,Maharashtra,2453.25,28.44,80.6,15.4,1,Kharif
2025-09-15,fruits,Punjab,1214.32,169.65,92.33,31.3,0,Kharif
2025-03-05,pulses,Andhra Pradesh,632.61,162.53,29.5,24.6,0,Rabi
2025-05-29,oilseeds,Tamil Nadu,1677.0,135.09,40.25,33.1,0,Zaid
2025-02-02,pulses,Punjab,1025.88,126.19,19.61,23.7,0,Rabi
2025-11-28,oilseeds,Punjab,1533.57,112.52,39.18,22.9,1,Rabi
2025-07-05,oilseeds,Punjab,1793.55,190.91,44.12,33.5,0,Kharif
2024-09-16,fruits,Maharashtra,887.37,102.64,294.01,24.9,0,Kharif
2025-05-05,dairy,Karnataka,1450.1,63.23,3.79,17.6,0,Zaid
2026-03-09,oilseeds,Delhi,727.85,44.99,32.04,18.6,0,Rabi
2025-12-13,vegetables,Kerala,1811.48,112.74,48.66,27.0,0,Rabi
2024-10-23,grains,Kerala,2599.03,82.11,104.29,15.6,1,Kharif
2026-01-18,spices,Maharashtra,1301.64,84.08,44.71,17.6,0,Rabi
2026-07-08,fruits,Andhra Pradesh,982.37,36.61,144.34,28.8,0,Kharif
2025-12-14,spices,Kerala,1881.31,30.99,13.84,31.1,0,Rabi
2026-07-26,vegetables,Kerala,776.78,57.68,111.14,24.7,0,Kharif
2025-03-03,fruits,Gujarat,1053.37,103.26,37.37,15.7,0,Rabi
2026-07-13,grains,Tamil Nadu,1530.75,172.0,224.88,15.6,0,Kharif
2026-03-11,fruits,Punjab,1031.22,91.49,5.24,29.7,0,Rabi
2026-03-15,pulses,Punjab,1345.95,171.33,4.46,25.7,0,Rabi
2025-04-26,vegetables,Maharashtra,1014.39,105.31,17.76,28.0,0,Zaid
2026-01-12,fruits,Tamil Nadu,1376.3,152.63,27.89,26.7,0,Rabi
2025-01-03,pulses,Kerala,1068.16,80.74,44.98,27.2,0,Rabi
2025-12-23,grains,Delhi,1247.37,79.46,46.68,15.2,0,Rabi
2026-06-03,dairy,Karnataka,1048.04,107.81,255.25,16.8,0,Kharif
2024-09-15,spices,Tamil Nadu,583.48,171.62,15.49,15.4,0,Kharif
2025-02-08,dairy,Gujarat,1995.88,181.39,28.8,33.3,0,Rabi
2025-05-26,oilseeds,Karnataka,1962.6,108.33,36.14,31.4,0,Zaid
2025-09-17,fruits,Tamil Nadu,1302.56,105.79,251.57,19.1,0,Kharif
2026-04-18,fruits,Karnataka,1566.43,55.91,36.81,25.6,0,Zaid
2025-07-07,vegetables,Punjab,1651.67,35.71,151.83,33.6,0,Kharif
2024-09-08,dairy,Kerala,1390.82,86.46,136.28,26.0,0,Kharif
2025-04-24,fruits,Gujarat,802.6,143.22,4.39,17.8,0,Zaid
2025-08-06,vegetables,Maharashtra,1012.57,105.17,181.83,30.9,1,Kharif
2026-03-13,oilseeds,Maharashtra,1776.09,154.28,20.43,33.7,0,Rabi
2025-07-31,grains,Maharashtra,807.5,88.26,277.93,29.4,0,Kharif
2024-11-25,pulses,Delhi,2508.41,169.03,37.53,31.0,1,Rabi
2025-08-27,grains,Andhra Pradesh,1169.41,62.42,190.13,33.2,1,Kharif
2025-11-23,vegetables,Andhra Pradesh,2073.69,142.94,22.6,29.3,1,Rabi
2025-10-27,grains,Andhra Pradesh,1428.1,154.57,150.82,19.6,1,Kharif
2026-01-16,vegetables,Tamil Nadu,1075.84,117.84,45.32,27.5,0,Rabi
2024-09-29,grains,Karnataka,1909.75,132.99,100.47,17.8,0,Kharif
2025-03-19,oilseeds,Tamil Nadu,1430.11,116.02,44.69,30.8,0,Rabi
2024-11-14,spices,Maharashtra,1451.37,64.73,37.2,15.7,1,Rabi
2026-03-10,spices,Punjab,1643.69,177.82,17.1,31.4,0,Rabi
2025-09-17,oilseeds,Tamil Nadu,1769.68,42.95,119.19,30.9,0,Kharif
2024-08-27,dairy,Andhra Pradesh,1265.82,150.01,216.01,27.8,1,Kharif
2025-09-19,grains,Gujarat,1314.09,65.32,103.71,18.6,0,Kharif
2026-03-14,fruits,Delhi,1375.09,92.15,23.1,33.9,0,Rabi
2024-12-09,pulses,Punjab,1379.34,111.06,30.57,15.4,0,Rabi
2025-12-15,pulses,Kerala,1898.18,121.72,34.83,33.4,0,Rabi
2026-07-29,oilseeds,Punjab,1656.87,87.4,20.68,16.5,0,Kharif
2025-10-01,spices,Delhi,2640.99,183.92,36.84,19.7,1,Kharif
2026-08-25,fruits,Karnataka,1169.22,170.75,99.64,21.2,1,Kharif
2026-03-04,grains,Delhi,1411.84,88.28,37.21,19.1,0,Rabi
2025-02-03,vegetables,Andhra Pradesh,1405.58,40.57,20.73,32.3,0,Rabi
2025-03-15,spices,Punjab,1198.55,106.55,45.92,26.7,0,Rabi
2025-05-22,grains,Gujarat,1869.12,64.68,28.88,18.3,0,Zaid
2025-05-23,dairy,Delhi,967.21,160.49,13.88,19.4,0,Zaid
2025-11-24,fruits,Andhra Pradesh,1909.14,195.6,22.95,26.1,1,Rabi
2025-11-30,spices,Gujarat,1953.91,53.2,14.98,21.2,1,Rabi
2026-08-22,spices,Tamil Nadu,1710.28,163.96,104.82,24.4,1,Kharif
2025-05-04,vegetables,Andhra Pradesh,1066.59,170.58,29.37,20.9,0,Zaid
