date,commodity,market,state,min_price,max_price,modal_price,msp,arrival_qty_tonnes
2026-07-16,Milk,Lasalgaon,Maharashtra,2873.21,3827.1,3350.15,2782.3,143.75
2026-07-12,Apple,Keshopur,Delhi,1623.08,1895.09,1759.09,1740.67,476.99
2026-05-08,Onion,Vashi APMC,Maharashtra,2161.3,2652.17,2406.74,1982.22,29.32
2026-06-27,Wheat,Keshopur,Delhi,2674.19,3563.85,3119.02,2629.26,428.83
2026-05-30,Onion,Vashi APMC,Maharashtra,2119.98,2637.28,2378.63,1937.51,278.16
2025-10-23,Rice,Azadpur Mandi,Delhi,2144.91,2372.67,2258.79,2271.06,123.8
2025-09-11,Rice,Ghazipur,Delhi,2076.5,2676.1,2376.3,2541.07,291.58
2026-06-29,Mango,Azadpur Mandi,Delhi,2432.56,2713.65,2573.11,2305.38,407.79
2026-01-18,Milk,Vashi APMC,Maharashtra,1674.41,2278.64,1976.53,1944.67,292.81
2026-03-01,Apple,Azadpur Mandi,Delhi,1472.51,1642.72,1557.62,1825.39,233.79
2026-08-08,Milk,Lasalgaon,Maharashtra,2210.96,2913.36,2562.16,2308.74,263.05
2026-08-04,Wheat,Ghazipur,Delhi,2212.29,3169.96,2691.12,2115.29,301.15
2026-07-12,Rice,Vashi APMC,Maharashtra,2134.7,2393.21,2263.95,2662.96,294.76
2026-06-13,Potato,Vashi APMC,Maharashtra,1517.48,1769.72,1643.6,1855.57,346.55
2025-11-23,Tomato,Vashi APMC,Maharashtra,2591.37,3312.84,2952.11,2554.52,218.28
2025-09-29,Mango,Ghazipur,Delhi,3024.07,4526.3,3775.19,2916.63,454.87
2026-07-23,Rice,Keshopur,Delhi,2127.28,2615.95,2371.61,2155.15,25.97
2026-03-08,Onion,Azadpur Mandi,Delhi,2243.67,3340.21,2791.94,2334.45,270.49
2026-04-10,Apple,Keshopur,Delhi,1715.59,2191.73,1953.66,2089.46,107.42
2026-01-05,Rice,Vashi APMC,Maharashtra,1826.96,2143.05,1985.01,1710.72,407.34
2026-06-14,Mango,Keshopur,Delhi,1490.96,2123.02,1806.99,1513.3,464.7
2026-04-23,Mango,Azadpur Mandi,Delhi,2545.24,3388.93,2967.09,2675.25,125.47
2026-03-18,Potato,Vashi APMC,Maharashtra,2189.84,2792.92,2491.38,2475.15,473.0
2026-03-30,Tomato,Keshopur,Delhi,2343.56,2880.64,2612.1,2916.52,234.93
2026-05-05,Potato,Lasalgaon,Maharashtra,1638.37,2197.72,1918.04,1540.62,38.67
2026-02-17,Milk,Azadpur Mandi,Delhi,2080.71,2742.77,2411.74,2317.91,473.79
2025-09-27,Apple,Keshopur,Delhi,1719.47,2375.47,2047.47,1565.14,363.97
2026-03-16,Milk,Azadpur Mandi,Delhi,1494.34,2125.52,1809.93,1578.04,489.77
2026-07-08,Wheat,Azadpur Mandi,Delhi,1484.24,2192.47,1838.36,1640.08,331.32
2025-11-07,Apple,Lasalgaon,Maharashtra,3019.95,3520.22,3270.09,2942.14,80.35
2026-06-26,Onion,Azadpur Mandi,Delhi,2755.97,3880.12,3318.05,2715.77,89.83
2025-09-23,Rice,Azadpur Mandi,Delhi,1690.38,2496.6,2093.49,1899.18,84.54
2025-11-07,Rice,Lasalgaon,Maharashtra,1647.92,1978.84,1813.38,1640.94,252.48
2026-01-08,Rice,Vashi APMC,Maharashtra,2868.75,3382.28,3125.52,2822.34,313.61
2026-07-09,Apple,Lasalgaon,Maharashtra,1769.95,2236.8,2003.38,1946.75,468.26
2025-11-18,Tomato,Azadpur Mandi,Delhi,2679.86,3825.75,3252.81,2713.48,138.49
2026-06-25,Rice,Keshopur,Delhi,1334.45,1558.27,1446.36,1619.27,95.19
2025-12-08,Rice,Vashi APMC,Maharashtra,2027.82,2687.95,2357.88,2504.96,465.77
2026-02-23,Milk,Ghazipur,Delhi,1812.69,2455.84,2134.27,2145.33,199.66
2026-05-12,Wheat,Ghazipur,Delhi,1490.87,1741.17,1616.02,1674.11,179.55
2026-02-11,Milk,Keshopur,Delhi,2615.24,3669.34,3142.29,2496.96,215.54
2025-12-22,Tomato,Azadpur Mandi,Delhi,2517.12,3515.28,3016.2,2353.67,349.55
2026-05-03,Wheat,Vashi APMC,Maharashtra,1501.94,2248.86,1875.4,1764.49,90.38
2026-02-23,Rice,Azadpur Mandi,Delhi,2584.05,3785.98,3185.02,2667.16,458.73
2026-03-27,Potato,Lasalgaon,Maharashtra,1564.37,2026.76,1795.57,1740.85,203.51
2025-09-16,Mango,Keshopur,Delhi,2459.8,3018.0,2738.9,2771.99,390.65
2026-04-15,Mango,Lasalgaon,Maharashtra,2272.39,3201.46,2736.93,2720.79,188.55
2026-07-22,Mango,Keshopur,Delhi,2071.8,3043.29,2557.55,2084.49,424.06
2026-06-05,Mango,Lasalgaon,Maharashtra,2517.64,3262.52,2890.08,2799.34,117.53
2026-02-28,Milk,Vashi APMC,Maharashtra,1685.0,2033.6,1859.3,1784.31,96.28
2025-09-02,Wheat,Azadpur Mandi,Delhi,1781.81,2544.92,2163.36,1730.94,430.33
2025-10-26,Potato,Lasalgaon,Maharashtra,2163.16,2817.49,2490.32,2236.99,415.97
2025-12-03,Onion,Vashi APMC,Maharashtra,2669.07,3612.33,3140.7,2841.88,211.87
2025-12-22,Wheat,Azadpur Mandi,Delhi,2919.1,3851.67,3385.39,2992.29,137.56
2026-06-29,Tomato,Azadpur Mandi,Delhi,2728.78,3221.95,2975.36,2712.27,446.07
